L 10/18/2019 - 00:01:01: SourceMod log file session started (file "L20191018.log") (Version "1.9.0.6282")
L 10/18/2019 - 00:01:01: [l4d2_skill_detect.smx] Charge carry start: 3 - 4 -- time: 88.40
L 10/18/2019 - 00:01:02: [l4d2_skill_detect.smx] Clear: 7 freed 4 from 3: time: 0.00 / 1.03 -- class: charger (with shove? 0)
L 10/18/2019 - 00:01:05: [l4d2_skill_detect.smx] Checking charge victim: 3 - 4 - flags: 1 (alive? 1)
L 10/18/2019 - 00:01:49: [l4d2_tankswap.smx] L4D_OnSpawnTank fired, creating Timer
L 10/18/2019 - 00:01:53: [l4d2_tankswap.smx] Initializing Tank Swap Menu, auto triggered
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_no_bash_kills") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "longer_tank_punch_getup") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_leap_interval_post_ledge_hang") (value "12")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_no_cans") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_no_propane") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_no_oxygen") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_no_fireworks") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_tank_speed_vs") (value "205")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_tank_damage_slow_min_range") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_tank_damage_slow_max_range") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_slowdown_gunfire_si") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_slowdown_gunfire_tank") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_slowdown_water_tank") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_slowdown_water_survivors") (value "-1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_slowdown_water_survivors_during_tank") (value "1.24")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_heq_checkpoint_sound") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_tankdamage_enabled") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_tank_props") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_tank_painfade") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_tank_painfade_duration") (value "150")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_tank_painfade_flags") (value "8")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_block_punch_rock") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_block_jump_rock") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tank_overhand_only") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_jump_rock_cooldown") (value "20")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_tank_pound_damage") (value "36")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_tank_rock_damage") (value "24")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "pickup_switch_flags") (value "2")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "pickup_incap_flags") (value "2")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_hittable_override") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_hittable_rage_override") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_rock_rage_override") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_spit_extra_time") (value "0.4")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_common_extra_time") (value "0.6")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_hunter_duration") (value "1.8")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_jockey_duration") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_smoker_duration") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_charger_duration") (value "2.1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_common_zc_flags") (value "9")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_spit_zc_flags") (value "6")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_godframe_glows") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_ff_min_time") (value "0.8")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_witch_override") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot_interval") (value "0.1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot_increment") (value "2")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot_total") (value "50")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_max_hunter_pounce_stagger_duration") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_m2_hunter_penalty") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_m2_jockey_penalty") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_m2_smoker_penalty") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_melee_tank_nerf") (value "20")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_dmg") (value "3")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_alternate_dmg") (value "3")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_max_ticks") (value "26")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_godframe_ticks") (value "6")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_bridge_car_damage") (value "24.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_sflog_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_bhlog_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_handtruck_standing_damage") (value "8.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_car_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_bumpercar_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_forklift_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_dumpster_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_haybale_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_baggage_standing_damage") (value "100.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_incap_standard_damage") (value "-2")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_disable_self_damage") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_overhit_time") (value "1.4")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_disable_si_friendly_staggers") (value "2")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_block_infected_ff") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_infected_ff_allow_tank") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_undoff_enable") (value "7")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_undoff_blockzerodmg") (value "7")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_undoff_permdmgfrac") (value "1.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_unsilentjockey_enabled") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_unsilentjockey_always") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_unsilentjockey_time") (value "0.1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "collision_tankrock_common") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "collision_smoker_common") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "collision_tankrock_incap") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_punchstuckfix_unstucktime") (value "0.5")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tpsf_debug_print") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_shotgun_ff_multi") (value "0.5")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_shotgun_ff_min") (value "1.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_shotgun_ff_max") (value "8.0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_uncinfblock_enabled") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_uncinfblock_types") (value "31")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Enabled") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Random") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_BaseballBat") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_CricketBat") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Crowbar") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_ElecGuitar") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_FireAxe") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_FryingPan") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_GolfClub") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Knife") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Katana") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Machete") (value "1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_RiotShield") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Tonfa") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sgspread_ring1_bullets") (value "8")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sgspread_ring1_factor") (value "3")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sgspread_center_pellet") (value "0")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_shotgun_bonus_damage_range") (value "60")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_shotgun_bonus_damage_multiplier") (value "7")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_reload_speed_uzi") (value "1.75")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_reload_speed_silenced_smg") (value "2.1")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_damage_per_kill_hit") (value "75")
L 10/18/2019 - 02:05:09: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_personal_space") (value "240")
L 10/18/2019 - 02:05:10: [l4d2_saferoom_item_remove.smx] Removed 0 saferoom item(s) (start: 0; end: 0).
L 10/18/2019 - 02:07:12: [l4d2_skill_detect.smx] Clear: 7 freed 3 from 4: time: 1.23 / 2.73 -- class: smoker (with shove? 0)
L 10/18/2019 - 02:07:16: [l4d2_skill_detect.smx] Clear: 3 freed 5 from 6: time: 0.16 / 2.77 -- class: smoker (with shove? 1)
L 10/18/2019 - 02:07:39: [l4d2_skill_detect.smx] Clear: 2 freed 7 from 4: time: 1.20 / -1.00 -- class: hunter (with shove? 0)
L 10/18/2019 - 02:07:54: [l4d2_tankswap.smx] L4D_OnSpawnTank fired, creating Timer
L 10/18/2019 - 02:07:57: [l4d2_tankswap.smx] Initializing Tank Swap Menu, auto triggered
L 10/18/2019 - 02:07:57: [l4d2_tankswap.smx] Valid Tank Choices Amount: 0
L 10/18/2019 - 02:08:45: [l4d2_skill_detect.smx] Clear: 7 freed 3 from 6: time: 1.02 / -1.00 -- class: hunter (with shove? 0)
L 10/18/2019 - 02:09:07: [l4d2_skill_detect.smx] Clear: 2 freed 7 from 9: time: 6.93 / -1.00 -- class: jockey (with shove? 0)
L 10/18/2019 - 02:09:43: [l4d2_skill_detect.smx] Clear: 2 freed 7 from 1: time: 9.15 / -1.00 -- class: jockey (with shove? 0)
L 10/18/2019 - 02:10:20: [l4d2_skill_detect.smx] Charge carry start: 1 - 5 -- time: 311.69
L 10/18/2019 - 02:10:22: [l4d2_skill_detect.smx] Clear: 3 freed 5 from 1: time: 1.00 / 1.92 -- class: charger (with shove? 0)
L 10/18/2019 - 02:10:23: [l4d2_skill_detect.smx] Checking charge victim: 1 - 5 - flags: 1 (alive? 1)
L 10/18/2019 - 02:10:24: [l4d2_skill_detect.smx] Checking charge victim: 1 - 2 - flags: 0 (alive? 1)
L 10/18/2019 - 02:10:29: [l4d2_skill_detect.smx] Clear: 5 freed 7 from 6: time: 1.81 / -1.00 -- class: hunter (with shove? 0)
L 10/18/2019 - 02:11:01: [l4d2_skill_detect.smx] Clear: 2 freed 5 from 6: time: 0.08 / 3.14 -- class: smoker (with shove? 1)
L 10/18/2019 - 02:11:04: [l4d2_skill_detect.smx] Clear: 5 freed 1 from 8: time: 0.13 / -1.00 -- class: jockey (with shove? 0)
L 10/18/2019 - 02:11:09: [l4d2_skill_detect.smx] Charge carry start: 9 - 1 -- time: 360.53
L 10/18/2019 - 02:11:10: [l4d2_skill_detect.smx] Clear: 7 freed 1 from 9: time: 0.34 / 1.22 -- class: charger (with shove? 0)
L 10/18/2019 - 02:11:12: [l4d2_skill_detect.smx] Checking charge victim: 9 - 1 - flags: 1 (alive? 1)
L 10/18/2019 - 02:11:23: [l4d2_skill_detect.smx] Clear: 6 freed 5 from 10: time: 1.55 / -1.00 -- class: hunter (with shove? 0)
L 10/18/2019 - 02:12:03: [l4d2_skill_detect.smx] Clear: 6 freed 7 from 3: time: 2.08 / -1.00 -- class: hunter (with shove? 0)
L 10/18/2019 - 02:12:36: [l4d2_skill_detect.smx] Clear: 2 freed 6 from 4: time: 5.85 / -1.00 -- class: jockey (with shove? 0)
L 10/18/2019 - 02:13:23: [admincheats.smx] CONSOLE ran cheat command 'crash'
L 10/18/2019 - 02:13:37: SourceMod log file session started (file "L20191018.log") (Version "1.9.0.6282")
L 10/18/2019 - 02:13:37: -------- Mapchange to c2m1_highway --------
L 10/18/2019 - 02:13:37: [GEOIP] GeoIP database info: GEO-106FREE 20180327 Build 1 Copyright (c) 2018 MaxMind Inc All Rights Reserved
L 10/18/2019 - 02:13:37: [GEOIPCITY] GeoIPCity database info: GEO-533LITE 20150106 Build 1 Copyright (c) 2015 MaxMind Inc All Rights Reserved
L 10/18/2019 - 02:13:37: [firebulletsfix.smx] Found offset for Weapon_ShootPosition 285
L 10/18/2019 - 02:13:41: [sv_steamgroup_fixer.smx] Corrected sv_steamgroup ("33766243,27767513") from 33766244 to 33766243.
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "motd_enabled") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "motdfile") (value "mymotd.txt")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hostfile") (value "myhost.txt")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "100000")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "100000")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "100")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "100")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "100")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "100")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "-1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.015")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "100000")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tick_door_speed") (value "1.3")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_force_unreserved") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_visiblemaxplayers") (value "16")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxplayers") (value "16")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "chestbump_patch_enabled") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_predict") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_cmdrate_difference") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec_global") (value "10")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec") (value "3")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_window") (value "10")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_player_stuck_tolerance") (value "5")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_stats") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_clockcorrection_msecs") (value "15")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sb_all_bot_game") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "director_allow_infected_bots") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_common_limit") (value "28")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_ghost_delay_min") (value "15")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_ghost_delay_max") (value "15")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_mega_mob_size") (value "50")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_mob_spawn_min_size") (value "15")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_mob_spawn_max_size") (value "15")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_mob_spawn_min_interval_normal") (value "3600")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_mob_spawn_max_interval_normal") (value "3600")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_jockey_ride_damage") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_jockey_ride_damage_interval") (value "0.25")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_pounce_damage") (value "2")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_pounce_damage_interval") (value "0.2")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hunter_pz_claw_dmg") (value "4")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tongue_drag_damage_amount") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tongue_choke_damage_amount") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tongue_drag_first_damage_interval") (value "1.0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tongue_drag_first_damage") (value "3.0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tongue_drag_damage_interval") (value "0.23")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tongue_choke_damage_interval") (value "0.2")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_versus_hunter_limit") (value "2")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_cheats") (value "0")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_consistency") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_pure_kick_clients") (value "1")
L 10/18/2019 - 02:13:41: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_voiceenable") (value "1")
