L 10/29/2019 - 05:31:33: SourceMod log file session started (file "L20191029.log") (Version "1.9.0.6282")
L 10/29/2019 - 05:31:33: Log file closed.
L 10/29/2019 - 05:31:48: SourceMod log file session started (file "L20191029.log") (Version "1.9.0.6282")
L 10/29/2019 - 05:31:48: -------- Mapchange to c2m1_highway --------
L 10/29/2019 - 05:31:48: [GEOIP] GeoIP database info: GEO-106FREE 20180327 Build 1 Copyright (c) 2018 MaxMind Inc All Rights Reserved
L 10/29/2019 - 05:31:48: [GEOIPCITY] GeoIPCity database info: GEO-533LITE 20150106 Build 1 Copyright (c) 2015 MaxMind Inc All Rights Reserved
L 10/29/2019 - 05:31:48: [firebulletsfix.smx] Found offset for Weapon_ShootPosition 285
L 10/29/2019 - 05:31:51: [sv_steamgroup_fixer.smx] Corrected sv_steamgroup ("33766243,27767513") from 33766244 to 33766243.
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_jockey_duration") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_smoker_duration") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_charger_duration") (value "2.1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_common_zc_flags") (value "9")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_spit_zc_flags") (value "6")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_godframe_glows") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_ff_min_time") (value "0.8")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "gfc_witch_override") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot_interval") (value "0.1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot_increment") (value "2")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d_pills_hot_total") (value "50")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_max_hunter_pounce_stagger_duration") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_m2_hunter_penalty") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_m2_jockey_penalty") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_m2_smoker_penalty") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_melee_tank_nerf") (value "20")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_dmg") (value "3")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_alternate_dmg") (value "3")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_max_ticks") (value "26")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_spit_godframe_ticks") (value "6")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_bridge_car_damage") (value "24.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_sflog_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_bhlog_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_handtruck_standing_damage") (value "8.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_car_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_bumpercar_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_forklift_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_dumpster_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_haybale_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_baggage_standing_damage") (value "100.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_incap_standard_damage") (value "-2")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_disable_self_damage") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hc_overhit_time") (value "1.4")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_disable_si_friendly_staggers") (value "2")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_block_infected_ff") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_infected_ff_allow_tank") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_undoff_enable") (value "7")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_undoff_blockzerodmg") (value "7")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_undoff_permdmgfrac") (value "1.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_unsilentjockey_enabled") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_unsilentjockey_always") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_unsilentjockey_time") (value "0.1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "collision_tankrock_common") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "collision_smoker_common") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "collision_tankrock_incap") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_punchstuckfix_unstucktime") (value "0.5")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tpsf_debug_print") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_shotgun_ff_multi") (value "0.5")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_shotgun_ff_min") (value "1.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_shotgun_ff_max") (value "8.0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_uncinfblock_enabled") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sm_uncinfblock_types") (value "31")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Enabled") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Random") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_BaseballBat") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_CricketBat") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Crowbar") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_ElecGuitar") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_FireAxe") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_FryingPan") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_GolfClub") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Knife") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Katana") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Machete") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_RiotShield") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_MITSR_Tonfa") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sgspread_ring1_bullets") (value "8")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sgspread_ring1_factor") (value "3")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sgspread_center_pellet") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_shotgun_bonus_damage_range") (value "60")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_shotgun_bonus_damage_multiplier") (value "7")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_reload_speed_uzi") (value "1.75")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_reload_speed_silenced_smg") (value "2.1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_damage_per_kill_hit") (value "75")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_personal_space") (value "240")
L 10/29/2019 - 05:31:52: [l4d2_saferoom_item_remove.smx] Removed 4 saferoom item(s) (start: 0; end: 4).
